Average over 18 months from 2013 to 2014,,,,,,,,,,,,
Mean,,,,,,Standard Deviation,,,,,,
triphour,tripduration,birth.year,gender,userTypeNum,"weekDay (Weekday: 1, Weekend: 2)",,triphour,tripduration,birth.year,gender,userTypeNum,"weekDay (Weekday: 1, Weekend: 2)"
0,743.1518209,36.42530735,1.196126189,2,1.366272327,,0,599.3655208,10.12360334,0.397088145,0,0.48181307
1,727.4035458,35.84550443,1.172224567,2,1.437948501,,1,677.3924665,9.865347491,0.377615362,0,0.496187036
2,692.4847943,35.67584973,1.137030411,2,1.493381038,,2,612.628658,9.996175358,0.343940986,0,0.500045649
3,714.692185,35.81552366,1.131313131,2,1.543859649,,3,1004.468391,10.05185986,0.337832308,0,0.498205065
4,652.1803279,39.84309133,1.155737705,2,1.362997658,,4,528.2025219,11.88757994,0.362712694,0,0.481005009
5,681.5075377,41.62775416,1.157711635,2,1.083687669,,5,698.9242651,11.48342887,0.36450563,0,0.276945603
6,646.5107234,41.17571254,1.175054087,2,1.048208071,,6,576.6520017,11.05415844,0.380022297,0,0.214210669
7,705.7851775,40.91941135,1.197907353,2,1.050479666,,7,545.0898701,11.17795587,0.398426742,0,0.218935212
8,742.5849214,40.15139425,1.242392089,2,1.055572061,,8,570.9365766,11.0624943,0.428533268,0,0.229095067
9,719.8885631,40.1171091,1.255109343,2,1.112676056,,9,618.9595881,10.94658099,0.435926465,0,0.316199158
10,741.9760602,40.79267622,1.256158634,1.999971052,1.239368939,,10,678.1233176,11.39686462,0.436516785,0.005380311,0.426704489
11,753.7280949,40.81539835,1.266893254,1.999884786,1.303560113,,11,693.6829826,11.45973951,0.442342493,0.010733315,0.459801544
12,747.5417205,40.59982459,1.251540917,2,1.283309377,,12,637.2119231,11.43754101,0.433903988,0,0.450610831
13,759.5272564,40.52162826,1.248857136,1.999977028,1.289242149,,13,717.5046663,11.52097179,0.432355821,0.004792925,0.45341576
14,774.7743106,40.62285049,1.246585224,1.999976731,1.305270506,,14,731.3240888,11.50528981,0.43102816,0.004823831,0.460527262
15,783.6542586,40.82077206,1.244047619,1.999978116,1.269323354,,15,725.5165304,11.54127606,0.429525804,0.004678007,0.44361311
16,787.8747808,41.0486592,1.228143139,1.999963836,1.214346419,,16,666.2850763,11.39088382,0.419639168,0.00601363,0.410371876
17,796.4248489,40.01729588,1.231372973,2,1.13679251,,17,657.3350273,11.01703492,0.421712767,0,0.343630235
18,802.6452987,38.75546327,1.244820691,2,1.146274802,,18,635.0153765,10.65480333,0.429983381,0,0.35338359
19,813.5679438,38.02537838,1.251978069,2,1.181998752,,19,690.7560592,10.43415349,0.434152296,0,0.385846667
20,814.7576129,37.56288605,1.252457519,1.999975966,1.209459947,,20,695.9452737,10.34747366,0.434427504,0.004902491,0.406928074
21,805.9180001,37.35355905,1.237596723,1.999964987,1.225377263,,21,705.7091364,10.40658351,0.425618212,0.00591716,0.417837845
22,780.1393806,37.171604,1.222874557,1.999955183,1.2333169,,22,638.2787211,10.39984918,0.416184156,0.006694544,0.422951701
23,757.849152,36.87495843,1.20359162,2,1.230196209,,23,604.4127654,10.22070834,0.402682079,0,0.420972328
,,,,,,,,,,,,
gender,tripduration,birth.year,userTypeNum,triphour,weekDay,,gender,tripduration,birth.year,userTypeNum,triphour,weekDay
1,735.7810138,40.10190091,1.999984553,13.92462935,1.179790971,,1,633.0259366,11.1606924,0.003930243,5.095286429,0.384013549
2,869.4262378,38.34937369,1.999985159,14.11006451,1.221395496,,2,724.0928523,10.78358886,0.003852447,4.857802503,0.415187166
,,,,,,,,,,,,
weekDay,tripduration,birth.year,gender,userTypeNum,triphour,,weekDay,tripduration,birth.year,gender,userTypeNum,triphour
1,751.0294727,39.95833902,1.228634186,1.99998402,13.87878832,,1,621.5189122,11.12713133,0.419953392,0.003997454,5.048871922
2,838.2855458,38.51682346,1.277714342,1.999987589,14.35305689,,2,792.6670208,10.89165461,0.44787312,0.003522951,4.985866805
